;id;unvan;gorevyeri;anahtarkelime;anahtarkelime2;ilgi
762;311901;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/TIP FAKÜLTESİ/DAHİLİ TIP BİLİMLERİ BÖLÜMÜ/İÇ HASTALIKLARI ANABİLİM DALI/;;;
763;40784;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/İLETİŞİM FAKÜLTESİ/HALKLA İLİŞKİLER VE REKLAMCILIK BÖLÜMÜ/HALKLA İLİŞKİLER VE REKLAMCILIK ANABİLİM DALI/;Sosyal-Beşeri ve İdari Bilimler Temel Alanı;Reklamcılık;
764;131776;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/BİLGİSAYAR VE BİLİŞİM BİLİMLERİ FAKÜLTESİ/BİLGİSAYAR MÜHENDİSLİĞİ BÖLÜMÜ/BİLGİSAYAR MÜHENDİSLİĞİ ANABİLİM DALI/;Mühendislik Temel Alanı;Bilgisayar Bilimleri ve Mühendisliği; Bilgisayar Yazılımı
765;165419;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/MÜHENDİSLİK FAKÜLTESİ/METALURJİ VE MALZEME MÜHENDİSLİĞİ BÖLÜMÜ/METALURJİ VE MALZEME MÜHENDİSLİĞİ ANABİLİM DALI/;Mühendislik Temel Alanı;Malzeme ve Metalurji Mühendisliği;" Kaplama Teknolojisi ; Nanomalzemeler ; Malzeme Karekterizasyonu"
766;29984;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/MÜHENDİSLİK FAKÜLTESİ/METALURJİ VE MALZEME MÜHENDİSLİĞİ BÖLÜMÜ/METALURJİ VE MALZEME MÜHENDİSLİĞİ ANABİLİM DALI/;Mühendislik Temel Alanı;Malzeme ve Metalurji Mühendisliği;" Malzeme Bilimi ; Seramik Malzemeler"
767;302757;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/MÜHENDİSLİK FAKÜLTESİ/İNŞAAT MÜHENDİSLİĞİ BÖLÜMÜ/İNŞAAT MÜHENDİSLİĞİ ANABİLİM DALI/;Mühendislik Temel Alanı;İnşaat Mühendisliği;" Optimizasyon ve Teknikleri ; Sayısal Modelleme ; Su Kaynakları ve Su Yapıları"
768;200138;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/FEN-EDEBİYAT FAKÜLTESİ/ALMAN DİLİ VE EDEBİYATI BÖLÜMÜ/ALMAN DİLİ VE EDEBİYATI ANABİLİM DALI/;Filoloji Temel Alanı;Dünya Dilleri ve Edebiyatları; Alman Dili ve Edebiyatı
769;265608;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/HUKUK FAKÜLTESİ/KAMU HUKUKU BÖLÜMÜ/ANAYASA HUKUKU ANABİLİM DALI/;Hukuk Temel Alanı;Anayasa Hukuku;
770;45591;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/İLETİŞİM FAKÜLTESİ/RADYO TELEVİZYON VE SİNEMA BÖLÜMÜ/RADYO TELEVİZYON VE SİNEMA ANABİLİM DALI/;Sosyal-Beşeri ve İdari Bilimler Temel Alanı;Sinema;" Sinema  Sosyolojisi ; Sinema ve Estetik ; Sinema Tarihi"
771;106855;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/FEN-EDEBİYAT FAKÜLTESİ/ALMAN DİLİ VE EDEBİYATI BÖLÜMÜ/ALMAN DİLİ VE EDEBİYATI ANABİLİM DALI/;Filoloji Temel Alanı;Dünya Dilleri ve Edebiyatları; Alman Dili ve Edebiyatı
